Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B5-203;0;Line;21177.29;77028.98;11957.29;77028.98;9220.00
B5-203;0;Line;11957.29;77028.98;11957.29;76898.98;130.00
B5-203;0;Line;11957.29;76898.98;11957.29;76083.98;815.00
B5-203;0;Line;11957.29;76083.98;11347.29;76083.98;610.00
B5-203;0;Line;11347.29;76083.98;11347.29;71183.98;4900.00
B5-203;0;Line;11347.29;71183.98;12042.29;71183.98;695.00
B5-203;0;Line;12042.29;71183.98;12057.29;71183.98;15.00
B5-203;0;Line;12057.29;71183.98;22122.30;71183.98;10065.01
B5-203;0;Line;22122.30;71183.98;22122.30;76083.98;4900.01
B5-203;0;Line;22122.30;76083.98;21992.29;76083.98;130.01
B5-203;0;Line;21992.29;76083.98;21177.29;76083.98;815.00
B5-203;0;Line;21177.29;76083.98;21177.29;76898.98;815.00
B5-203;0;Line;21177.29;76898.98;21177.29;77028.98;130.00
B5-204;0;Line;21092.29;29083.98;21084.79;29083.98;7.50
B5-204;0;Line;21084.79;29083.98;12142.28;29083.98;8942.51
B5-204;0;Line;12142.28;29083.98;11507.29;29083.98;634.99
B5-204;0;Line;11507.29;29083.98;11507.29;23313.98;5770.00
B5-204;0;Line;11507.29;23313.98;11957.29;23313.98;450.00
B5-204;0;Line;11957.29;23313.98;11957.29;22483.98;830.00
B5-204;0;Line;11957.29;22483.98;11507.29;22483.98;450.00
B5-204;0;Line;11507.29;22483.98;11507.29;20298.98;2185.00
B5-204;0;Line;11507.29;20298.98;11507.29;20293.98;5.00
B5-204;0;Line;11507.29;20293.98;11507.29;16613.98;3680.00
B5-204;0;Line;11507.29;16613.98;11957.29;16613.98;450.00
B5-204;0;Line;11957.29;16613.98;11957.29;15798.98;815.00
B5-204;0;Line;11957.29;15798.98;11957.29;15668.98;130.00
B5-204;0;Line;11957.29;15668.98;21177.29;15668.98;9220.00
B5-204;0;Line;21177.29;15668.98;21177.29;15798.98;130.00
B5-204;0;Line;21177.29;15798.98;21177.29;16613.98;815.00
B5-204;0;Line;21177.29;16613.98;21992.29;16613.98;815.00
B5-204;0;Line;21992.29;16613.98;22122.30;16613.98;130.01
B5-204;0;Line;22122.30;16613.98;22122.30;22483.98;5870.00
B5-204;0;Line;22122.30;22483.98;21992.29;22483.98;130.01
B5-204;0;Line;21992.29;22483.98;21177.29;22483.98;815.00
B5-204;0;Line;21177.29;22483.98;21177.29;23313.98;830.00
B5-204;0;Line;21177.29;23313.98;21992.29;23313.98;815.00
B5-204;0;Line;21992.29;23313.98;22122.30;23313.98;130.01
B5-204;0;Line;22122.30;23313.98;22122.30;29083.98;5770.00
B5-204;0;Line;22122.30;29083.98;21092.29;29083.98;1030.01
B5-205;0;Line;-5622.71;36168.97;-10457.70;36168.97;4834.99
B5-205;0;Line;-10457.70;36168.97;-10457.70;30118.97;6050.00
B5-205;0;Line;-10457.70;30118.97;-9999.30;30118.97;458.40
B5-205;0;Line;-9999.30;30118.97;-9852.71;30118.97;146.60
B5-205;0;Line;-9852.71;30118.97;-9784.70;30118.97;68.01
B5-205;0;Line;-9784.70;30118.97;-8202.71;30118.97;1581.99
B5-205;0;Line;-8202.71;30118.97;-8056.11;30118.97;146.60
B5-205;0;Line;-8056.11;30118.97;-5607.71;30118.97;2448.40
B5-205;0;Line;-5607.71;30118.97;-4807.71;30118.97;800.00
B5-205;0;Line;-4807.71;30118.97;-2714.30;30118.97;2093.40
B5-205;0;Line;-2714.30;30118.97;-2592.71;30118.97;121.60
B5-205;0;Line;-2592.71;30118.97;-2591.11;30118.97;1.60
B5-205;0;Line;-2591.11;30118.97;-1144.30;30118.97;1446.81
B5-205;0;Line;-1144.30;30118.97;-1142.71;30118.97;1.60
B5-205;0;Line;-1142.71;30118.97;-1021.11;30118.97;121.60
B5-205;0;Line;-1021.11;30118.97;-412.71;30118.97;608.40
B5-205;0;Line;-412.71;30118.97;-412.71;35378.97;5260.00
B5-205;0;Line;-412.71;35378.97;-412.71;36168.97;790.00
B5-205;0;Line;-412.71;36168.97;-4792.71;36168.97;4380.00
B5-205;0;Line;-4792.71;36168.97;-4792.71;35783.98;384.99
B5-205;0;Line;-4792.71;35783.98;-5622.71;35783.98;830.00
B5-205;0;Line;-5622.71;35783.98;-5622.71;36168.97;384.99
B5-206;0;Line;-12322.71;36168.97;-14522.71;36168.97;2200.00
B5-206;0;Line;-14522.71;36168.97;-14522.71;30118.97;6050.00
B5-206;0;Line;-14522.71;30118.97;-13894.30;30118.97;628.41
B5-206;0;Line;-13894.30;30118.97;-13772.71;30118.97;121.60
B5-206;0;Line;-13772.71;30118.97;-13771.11;30118.97;1.60
B5-206;0;Line;-13771.11;30118.97;-12315.21;30118.97;1455.90
B5-206;0;Line;-12315.21;30118.97;-12307.71;30118.97;7.50
B5-206;0;Line;-12307.71;30118.97;-11507.71;30118.97;800.00
B5-206;0;Line;-11507.71;30118.97;-10677.70;30118.97;830.01
B5-206;0;Line;-10677.70;30118.97;-10677.70;36168.97;6050.00
B5-206;0;Line;-10677.70;36168.97;-11492.71;36168.97;815.01
B5-206;0;Line;-11492.71;36168.97;-11492.71;35783.98;384.99
B5-206;0;Line;-11492.71;35783.98;-12322.71;35783.98;830.00
B5-206;0;Line;-12322.71;35783.98;-12322.71;36168.97;384.99
B5-207;0;Line;-18902.71;35783.97;-18902.71;35378.97;405.00
