Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B5-403;0;Line;21177.29;77028.98;11957.29;77028.98;9220.00
B5-403;0;Line;11957.29;77028.98;11957.29;76898.98;130.00
B5-403;0;Line;11957.29;76898.98;11957.29;76083.98;815.00
B5-403;0;Line;11957.29;76083.98;11347.29;76083.98;610.00
B5-403;0;Line;11347.29;76083.98;11347.29;71073.98;5010.00
B5-403;0;Line;11347.29;71073.98;11347.29;70613.98;460.00
B5-403;0;Line;11347.29;70613.98;11942.29;70613.98;595.00
B5-403;0;Line;11942.29;70613.98;12555.70;70613.98;613.40
B5-403;0;Line;12555.70;70613.98;12727.29;70613.98;171.60
B5-403;0;Line;12727.29;70613.98;12770.30;70613.98;43.01
B5-403;0;Line;12770.30;70613.98;14367.29;70613.98;1596.99
B5-403;0;Line;14367.29;70613.98;14498.89;70613.98;131.60
B5-403;0;Line;14498.89;70613.98;19605.71;70613.98;5106.82
B5-403;0;Line;19605.71;70613.98;19727.31;70613.98;121.60
B5-403;0;Line;19727.31;70613.98;19728.90;70613.98;1.60
B5-403;0;Line;19728.90;70613.98;21229.79;70613.98;1500.89
B5-403;0;Line;21229.79;70613.98;22122.29;70613.98;892.50
B5-403;0;Line;22122.29;70613.98;22122.29;75846.48;5232.50
B5-403;0;Line;22122.29;75846.48;22122.29;76083.98;237.50
B5-403;0;Line;22122.29;76083.98;21992.29;76083.98;130.00
B5-403;0;Line;21992.29;76083.98;21177.29;76083.98;815.00
B5-403;0;Line;21177.29;76083.98;21177.29;76898.98;815.00
B5-403;0;Line;21177.29;76898.98;21177.29;77028.98;130.00
B5-404A;0;Line;14367.29;70393.98;12677.29;70393.98;1690.00
B5-404A;0;Line;12677.29;70393.98;12677.29;69383.98;1010.00
B5-404A;0;Line;12677.29;69383.98;11127.29;69383.98;1550.00
B5-404A;0;Line;11127.29;69383.98;11127.29;64763.98;4620.00
B5-404A;0;Line;11127.29;64763.98;12270.70;64763.98;1143.40
B5-404A;0;Line;12270.70;64763.98;12272.29;64763.98;1.60
B5-404A;0;Line;12272.29;64763.98;12374.79;64763.98;102.50
B5-404A;0;Line;12374.79;64763.98;22122.29;64763.98;9747.50
B5-404A;0;Line;22122.29;64763.98;22122.29;69383.98;4620.00
B5-404A;0;Line;22122.29;69383.98;21992.29;69383.98;130.00
B5-404A;0;Line;21992.29;69383.98;21177.29;69383.98;815.00
B5-404A;0;Line;21177.29;69383.98;21177.29;70206.48;822.50
B5-404A;0;Line;21177.29;70206.48;21177.29;70393.98;187.50
B5-404A;0;Line;21177.29;70393.98;19727.31;70393.98;1449.99
B5-404A;0;Line;19727.31;70393.98;19727.31;69383.98;1010.00
B5-404A;0;Line;19727.31;69383.98;14377.29;69383.98;5350.01
B5-404A;0;Line;14377.29;69383.98;14377.29;70393.98;1010.00
B5-404A;0;Line;14377.29;70393.98;14367.29;70393.98;10.00
B5-404B;0;Line;11127.29;70606.48;11127.29;70963.98;357.50
B5-404B;0;Line;11127.29;70963.98;9479.79;70963.98;1647.50
B5-404B;0;Line;9479.79;70963.98;9425.70;70963.98;54.10
B5-404B;0;Line;9425.70;70963.98;3642.30;70963.98;5783.40
B5-404B;0;Line;3642.30;70963.98;3612.30;70963.98;30.00
B5-404B;0;Line;3612.30;70963.98;3612.30;64763.98;6200.00
B5-404B;0;Line;3612.30;64763.98;7629.79;64763.98;4017.49
B5-404B;0;Line;7629.79;64763.98;7732.29;64763.98;102.50
B5-404B;0;Line;7732.29;64763.98;7733.89;64763.98;1.60
B5-404B;0;Line;7733.89;64763.98;8817.29;64763.98;1083.40
B5-404B;0;Line;8817.29;64763.98;8970.30;64763.98;153.01
B5-404B;0;Line;8970.30;64763.98;11034.28;64763.98;2063.98
B5-404B;0;Line;11034.28;64763.98;11127.29;64763.98;93.01
B5-404B;0;Line;11127.29;64763.98;11127.29;64856.99;93.01
B5-404B;0;Line;11127.29;64856.99;11127.29;69290.97;4433.98
B5-404B;0;Line;11127.29;69290.97;11127.29;69443.98;153.01
B5-404B;0;Line;11127.29;69443.98;11127.29;69791.48;347.50
B5-404B;0;Line;11127.29;69791.48;11127.29;70606.48;815.00
B5-405;0;Line;22122.29;64543.98;12477.29;64543.98;9645.00
B5-405;0;Line;12477.29;64543.98;12477.29;59620.58;4923.40
B5-405;0;Line;12477.29;59620.58;12477.29;59498.98;121.60
B5-405;0;Line;12477.29;59498.98;12477.29;59497.39;1.60
B5-405;0;Line;12477.29;59497.39;12477.29;57891.99;1605.40
B5-405;0;Line;12477.29;57891.99;12477.29;57848.98;43.01
B5-405;0;Line;12477.29;57848.98;12477.29;57677.39;171.60
B5-405;0;Line;12477.29;57677.39;12477.29;56508.98;1168.40
B5-405;0;Line;12477.29;56508.98;21177.29;56508.98;8700.00
B5-405;0;Line;21177.29;56508.98;21177.29;56813.98;305.00
B5-405;0;Line;21177.29;56813.98;21992.29;56813.98;815.00
B5-405;0;Line;21992.29;56813.98;22122.29;56813.98;130.00
B5-405;0;Line;22122.29;56813.98;22122.29;62683.98;5870.00
B5-405;0;Line;22122.29;62683.98;21992.29;62683.98;130.00
B5-405;0;Line;21992.29;62683.98;21177.29;62683.98;815.00
B5-405;0;Line;21177.29;62683.98;21177.29;63513.98;830.00
B5-405;0;Line;21177.29;63513.98;21992.29;63513.98;815.00
B5-405;0;Line;21992.29;63513.98;22122.29;63513.98;130.00
B5-405;0;Line;22122.29;63513.98;22122.29;64543.98;1030.00
B5-406;0;Line;21177.29;56288.98;12477.29;56288.98;8700.00
B5-406;0;Line;12477.29;56288.98;12477.29;55100.58;1188.40
B5-406;0;Line;12477.29;55100.58;12477.29;54978.98;121.60
B5-406;0;Line;12477.29;54978.98;12477.29;54977.39;1.60
B5-406;0;Line;12477.29;54977.39;12477.29;53371.99;1605.40
B5-406;0;Line;12477.29;53371.99;12477.29;53328.98;43.01
B5-406;0;Line;12477.29;53328.98;12477.29;53157.39;171.60
B5-406;0;Line;12477.29;53157.39;12477.29;49808.98;3348.40
B5-406;0;Line;12477.29;49808.98;21177.29;49808.98;8700.00
B5-406;0;Line;21177.29;49808.98;21177.29;50113.98;305.00
B5-406;0;Line;21177.29;50113.98;21992.29;50113.98;815.00
B5-406;0;Line;21992.29;50113.98;22122.29;50113.98;130.00
B5-406;0;Line;22122.29;50113.98;22122.29;55983.98;5870.00
B5-406;0;Line;22122.29;55983.98;21992.29;55983.98;130.00
B5-406;0;Line;21992.29;55983.98;21177.29;55983.98;815.00
B5-406;0;Line;21177.29;55983.98;21177.29;56288.98;305.00
B5-407;0;Line;21177.29;49588.98;12477.29;49588.98;8700.00
B5-407;0;Line;12477.29;49588.98;12477.29;46330.58;3258.40
B5-407;0;Line;12477.29;46330.58;12477.29;46208.98;121.60
B5-407;0;Line;12477.29;46208.98;12477.29;46207.39;1.60
B5-407;0;Line;12477.29;46207.39;12477.29;44601.99;1605.40
B5-407;0;Line;12477.29;44601.99;12477.29;44558.98;43.01
B5-407;0;Line;12477.29;44558.98;12477.29;44387.39;171.60
B5-407;0;Line;12477.29;44387.39;12477.29;43108.98;1278.40
B5-407;0;Line;12477.29;43108.98;21177.29;43108.98;8700.00
B5-407;0;Line;21177.29;43108.98;21177.29;43413.98;305.00
B5-407;0;Line;21177.29;43413.98;21992.29;43413.98;815.00
B5-407;0;Line;21992.29;43413.98;22122.29;43413.98;130.00
B5-407;0;Line;22122.29;43413.98;22122.29;49283.98;5870.00
